NO,쿠팡 파트너스 링크,상황 태그,상품명,상품 한줄설명,상품 이미지 URL,이미지 상태
77,https://link.coupang.com/a/g9WnvZopZk,,,,,,
78,https://link.coupang.com/a/g9Wn16tWNM,,,,,,
79,https://link.coupang.com/a/g9WoBwe9N6,,,,,,
80,https://link.coupang.com/a/g9Wo4ubdMi,,,,,,
81,https://link.coupang.com/a/g9WpxZr1cO,,,,,,
82,https://link.coupang.com/a/g9Wp5IA8iW,,,,,,
83,https://link.coupang.com/a/g9WqIQYiaq,,,,,,
84,https://link.coupang.com/a/g9Wrr6zjXg,,,,,,
85,https://link.coupang.com/a/g9Wr9s4Nwq,,,,,,
86,https://link.coupang.com/a/g9WsNLG6Ue,,,,,,
87,https://link.coupang.com/a/g9WtkVDJ1w,,,,,,
88,https://link.coupang.com/a/g9Wupj4Ak8,,,,,,
89,https://link.coupang.com/a/g9WvHru4s0,,,,,,
90,https://link.coupang.com/a/g9WwaWeIq4,,,,,,
91,https://link.coupang.com/a/g9Ww92EVCS,,,,,,
92,https://link.coupang.com/a/g9WxB8NLwW,,,,,,
93,https://link.coupang.com/a/g9Wx7wLivY,,,,,,
94,https://link.coupang.com/a/g9WyNiU0qG,,,,,,
95,https://link.coupang.com/a/g9Wzpm9CY8,,,,,,
96,https://link.coupang.com/a/g9Wz2Npv2G,,,,,,
97,https://link.coupang.com/a/g9WAzfeqUn,,,,,,
98,https://link.coupang.com/a/g9WBbBLgSy,,,,,,
99,https://link.coupang.com/a/g9WBMUASIe,,,,,,
100,https://link.coupang.com/a/g9WCpJxqDI,,,,,,
101,https://link.coupang.com/a/g9WDYlWEr6,,,,,,
102,https://link.coupang.com/a/g9WEq1qMX6,,,,,,
103,https://link.coupang.com/a/g9WEVViCjs,,,,,,
104,https://link.coupang.com/a/g9WFqdGUEu,,,,,,
105,https://link.coupang.com/a/g9WF3tji6m,,,,,,
106,https://link.coupang.com/a/g9WGA8Dwzc,,,,,,
107,https://link.coupang.com/a/g9WIaYgrQG,,,,,,
108,https://link.coupang.com/a/g9WIGehdbU,,,,,,
109,https://link.coupang.com/a/g9WI6ZwXgi,,,,,,
110,https://link.coupang.com/a/g9WJAr84wC,,,,,,
111,https://link.coupang.com/a/g9WJ7nsrYa,,,,,,
112,https://link.coupang.com/a/g9WKzw1CPk,,,,,,
113,https://link.coupang.com/a/g9WNhKlnXM,,,,,,
114,https://link.coupang.com/a/g9WNZFBADA,,,,,,
115,https://link.coupang.com/a/g9WPpNlILk,,,,,,
116,https://link.coupang.com/a/g9WPSJiOFU,,,,,,
117,https://link.coupang.com/a/g9WQpzE7OK,,,,,,
118,https://link.coupang.com/a/g9WQW0uqo8,,,,,,
119,https://link.coupang.com/a/g9WRsKSgFg,,,,,,
120,https://link.coupang.com/a/g9WSeKDz0S,,,,,,
121,https://link.coupang.com/a/g9WSM0HWlE,,,,,,
122,https://link.coupang.com/a/g9WUmCKRSm,,,,,,
123,https://link.coupang.com/a/g9WURSjovA,,,,,,
124,https://link.coupang.com/a/g9WVvWSj2i,,,,,,
125,https://link.coupang.com/a/g9WWnvGT0e,,,,,,
126,https://link.coupang.com/a/g9WWR5n3IG,,,,,,
127,https://link.coupang.com/a/g9WXmjO7C8,,,,,,
128,https://link.coupang.com/a/g9WXPh2MJo,,,,,,
129,https://link.coupang.com/a/g9WYirsGZM,,,,,,
130,https://link.coupang.com/a/g9WYK3HlZs,,,,,,
131,https://link.coupang.com/a/g9WZlu0rtI,,,,,,
132,https://link.coupang.com/a/g9W0hkul4K,,,,,,
133,https://link.coupang.com/a/g9W1EhOh2G,,,,,,
134,https://link.coupang.com/a/g9W18HzVUy,,,,,,
135,https://link.coupang.com/a/g9W2HvrVYa,,,,,,
136,https://link.coupang.com/a/g9W3beDiCG,,,,,,
137,https://link.coupang.com/a/g9W3FzzLhs,,,,,,
138,https://link.coupang.com/a/g9W4c36L6a,,,,,,
139,https://link.coupang.com/a/g9W40gXr7A,,,,,,
140,https://link.coupang.com/a/g9W5A4hAv6,,,,,,
141,https://link.coupang.com/a/g9W6dPnDIi,,,,,,
142,https://link.coupang.com/a/g9W6SsJk9k,,,,,,
143,https://link.coupang.com/a/g9W7EWJoCy,,,,,,
144,https://link.coupang.com/a/g9W8q3iDn2,,,,,,
145,https://link.coupang.com/a/g9W8RBMqBw,,,,,,
146,https://link.coupang.com/a/g9W9kXhcm4,,,,,,
147,https://link.coupang.com/a/g9W9LZRoUS,,,,,,
148,https://link.coupang.com/a/g9Xabzjrau,,,,,,
149,https://link.coupang.com/a/g9XaINer6G,,,,,,
150,https://link.coupang.com/a/g9Xbew256G,,,,,,
151,https://link.coupang.com/a/g9XbL2QQeW,,,,,,
152,https://link.coupang.com/a/g9XcFP2plA,,,,,,
153,https://link.coupang.com/a/g9XdiuRUrc,,,,,,
154,https://link.coupang.com/a/g9XeAHoW3o,,,,,,
155,https://link.coupang.com/a/g9XfbpLzrw,,,,,,
